LINK_NO,CASE_REF,CONTENT_INTACT,LINK_INTACT,HASH_INTACT,PACK_PRESENT
1,CU-100120|2026-01-19,TRUE,TRUE,TRUE,TRUE
2,CU-100150|2026-04-13,TRUE,TRUE,TRUE,TRUE
3,CU-100484|2025-08-25,TRUE,TRUE,TRUE,TRUE
4,CU-100793|2026-03-30,TRUE,TRUE,TRUE,TRUE
5,CU-101011|2025-08-18,TRUE,TRUE,TRUE,TRUE
6,CU-101011|2025-09-01,TRUE,TRUE,TRUE,TRUE
7,CU-101011|2025-09-22,TRUE,TRUE,TRUE,TRUE
8,CU-101011|2026-06-29,TRUE,TRUE,TRUE,TRUE
9,CU-101011|2026-07-06,TRUE,TRUE,TRUE,TRUE
10,CU-100484|2025-09-08,TRUE,TRUE,TRUE,TRUE
11,CU-100044|2026-03-02,TRUE,TRUE,TRUE,TRUE
12,CU-100047|2025-11-17,TRUE,TRUE,TRUE,TRUE
13,CU-100047|2026-04-06,TRUE,TRUE,TRUE,TRUE
14,CU-100047|2026-05-18,TRUE,TRUE,TRUE,TRUE
15,CU-100047|2026-06-08,TRUE,TRUE,TRUE,TRUE
16,CU-100101|2026-01-05,TRUE,TRUE,TRUE,TRUE
17,CU-100101|2026-01-12,TRUE,TRUE,TRUE,TRUE
18,CU-100101|2026-01-19,TRUE,TRUE,TRUE,TRUE
19,CU-100101|2026-02-02,TRUE,TRUE,TRUE,TRUE
20,CU-100110|2025-09-01,TRUE,TRUE,TRUE,TRUE
21,CU-100120|2026-01-26,TRUE,TRUE,TRUE,TRUE
22,CU-100120|2026-02-02,TRUE,TRUE,TRUE,TRUE
23,CU-100120|2026-02-09,TRUE,TRUE,TRUE,TRUE
24,CU-100120|2026-02-16,TRUE,TRUE,TRUE,TRUE
25,CU-100121|2026-01-26,TRUE,TRUE,TRUE,TRUE
26,CU-100121|2026-02-23,TRUE,TRUE,TRUE,TRUE
27,CU-100121|2026-03-09,TRUE,TRUE,TRUE,TRUE
28,CU-100121|2026-04-06,TRUE,TRUE,TRUE,TRUE
29,CU-100124|2025-12-29,TRUE,TRUE,TRUE,TRUE
30,CU-100124|2026-06-01,TRUE,TRUE,TRUE,TRUE
31,CU-100150|2026-05-04,TRUE,TRUE,TRUE,TRUE
