CUSTOMER_ID,WEEK_START,WEEK_END,AGGREGATE_AMOUNT,TXN_COUNT,ARCHETYPE,IS_TRULY_SUSPICIOUS
CU-100012,2025-08-18,2025-08-24,950014.20,6,MULE,TRUE
CU-100012,2025-09-08,2025-09-14,906271.98,7,MULE,TRUE
CU-100012,2025-11-03,2025-11-09,976357.65,5,MULE,TRUE
CU-100012,2025-12-15,2025-12-21,819416.61,7,MULE,TRUE
CU-100012,2025-12-22,2025-12-28,924163.90,5,MULE,TRUE
CU-100012,2026-01-19,2026-01-25,923013.35,6,MULE,TRUE
CU-100012,2026-02-16,2026-02-22,818641.75,9,MULE,TRUE
CU-100012,2026-04-13,2026-04-19,801940.24,2,MULE,TRUE
CU-100012,2026-06-01,2026-06-07,844755.04,2,MULE,TRUE
CU-100012,2026-06-08,2026-06-14,860934.83,11,MULE,TRUE
CU-100012,2026-06-22,2026-06-28,845104.81,2,MULE,TRUE
CU-100012,2026-07-20,2026-07-26,803268.79,7,MULE,TRUE
CU-100027,2025-12-01,2025-12-07,897750.94,6,LAYERING,TRUE
CU-100034,2025-06-30,2025-07-06,928882.29,3,CASH_BUSINESS,FALSE
CU-100034,2025-07-07,2025-07-13,961182.30,4,CASH_BUSINESS,FALSE
CU-100034,2025-07-21,2025-07-27,978009.23,4,CASH_BUSINESS,FALSE
CU-100034,2025-08-04,2025-08-10,868325.75,5,CASH_BUSINESS,FALSE
CU-100034,2025-08-25,2025-08-31,800981.67,4,CASH_BUSINESS,FALSE
CU-100034,2025-09-08,2025-09-14,969124.79,6,CASH_BUSINESS,FALSE
CU-100034,2025-09-15,2025-09-21,822751.88,3,CASH_BUSINESS,FALSE
CU-100034,2025-09-22,2025-09-28,853274.21,4,CASH_BUSINESS,FALSE
CU-100034,2025-10-20,2025-10-26,938689.01,6,CASH_BUSINESS,FALSE
CU-100034,2025-11-03,2025-11-09,918240.35,8,CASH_BUSINESS,FALSE
CU-100034,2025-11-10,2025-11-16,874637.38,5,CASH_BUSINESS,FALSE
CU-100034,2025-11-17,2025-11-23,892345.10,5,CASH_BUSINESS,FALSE
CU-100034,2025-12-15,2025-12-21,882851.51,8,CASH_BUSINESS,FALSE
CU-100034,2026-01-12,2026-01-18,859202.52,4,CASH_BUSINESS,FALSE
CU-100034,2026-01-26,2026-02-01,911501.46,4,CASH_BUSINESS,FALSE
